#,channel,qna,address
1,영국남자,Q&A,https://www.youtube.com/user/koreanenglishman/community
2,한예슬 is,Q&A,https://www.youtube.com/channel/UCA6uTV8GcNJ-AbCz4kw9Buw/community
3,free지아,Q&A,https://www.youtube.com/channel/UCWRb5QmwOrsxewLmLwAjrtA/community
4,디바걸스,Q&A,https://www.youtube.com/channel/UCghP93LBNk1EGBr5gFJg20Q/community
5,심장에박현서,Q&A,https://www.youtube.com/channel/UCo4m81FJ-dT8MqijBlhbN2A/community
6,보물섬,Q&A,https://www.youtube.com/channel/UC9ZLv1m7QDLv991X1-p50AA/community
7,[햄지]Hamzy,Q&A,https://www.youtube.com/c/HamzyASMR/community
8,MIYUT미윳,큐엔에이,https://www.youtube.com/c/miyut/community
9,심즈 아무나 AMUNA,Q&A,https://www.youtube.com/channel/UCKQm9pMIE5ti11h_m6NEHpw/community
10,산적TV밥굽남,질문,https://www.youtube.com/channel/UCdfhK0yIMjmhcQ3gP-qpXRw/community
11,IT's okay 잇츠 오케이,QnA,https://www.youtube.com/channel/UCSLbd-2R06iv0VtChxERhDA/community
12,가흔이 생기브,궁금한 점,https://www.youtube.com/channel/UCFtY8NtxTmaSR5oZx3OJrGg/community
13,박담채DAMCHAE,QnA ,https://www.youtube.com/c/%EB%B0%95%EB%8B%B4%EC%B1%84DAMCHAE/community
14,허팝Heopop,Q&A,https://www.youtube.com/user/heopopfamily/community
15,떵개떵,Q&A,https://www.youtube.com/channel/UC-i2ywiuvjvpTy2zW-tXfkw/community
16,뽐뽐뽐,궁금한 점,https://www.youtube.com/channel/UCzpOLMBZ6qxhb6GJ5eksq5A/community
17,_유나yuna,질문,https://www.youtube.com/channel/UClHbSohDjhDPmAjYgLGgTRQ/community
18,미트 miit,Q&A,https://www.youtube.com/c/miitmini/community
19,유네린NERIN,QnA,https://www.youtube.com/user/haerin0057/community
20,남서연SEOYEON,큐엔에이,https://www.youtube.com/channel/UCyEND5Fs12dRsUsmjBy4ZbQ/community
21,쏘이Soy The World,QnA,https://www.youtube.com/c/soy%EC%8F%98%EC%9D%B4/community
22,코저트 Cossert,q&a,https://www.youtube.com/channel/UC-pXaRbTkhOnOUjsv96QHMg/community
23,배윤정TV Bae Yoon Jung,궁금,https://www.youtube.com/channel/UCHDFA44cYmzocBlosaWADog/community
24,여리나핏,Q&A,https://www.youtube.com/c/solaryeori/community
25,[THE SOY]루퐁이네,궁금,https://www.youtube.com/c/solaryeori/community
26,설채현의 DOG설TV,질문하나,https://www.youtube.com/channel/UCX3QAQPW30ZPpj39LJjJ_3g/community
27,LilySeeun릴리세은,Q&A,https://www.youtube.com/channel/UCemKWU64E4COpuat5rqbOhw/community
28,쓰복만,궁금한 점,https://www.youtube.com/user/smurf0131/community
29,해피아가리 - Happy I got it,Q&A,https://www.youtube.com/c/happyIgotit/community
30,천재견 사월이sawol,질문,https://www.youtube.com/channel/UCrf5zJvtOoZkIviA3IZNPGA/community
31,꾸몽,질문,https://www.youtube.com/c/%EA%BE%B8%EB%AA%BD/community
32,패션TV - 쩡대 korea fashion tv,Q/A,https://www.youtube.com/c/%EC%A9%A1%EB%8C%80TV/community
33,자취요리신 simple cooking,Q&A,https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ/community
34,공돌이 용달,Q&A,https://www.youtube.com/channel/UCuPeQ50gyXAl_70p0UT7WAQ/community
35,긱블 Geekble,궁금,https://www.youtube.com/c/%EA%B8%B1%EB%B8%94Geekble/community
36,프로동네야구 PDB ,궁금,https://www.youtube.com/c/%ED%94%84%EB%A1%9C%EB%8F%99%EB%84%A4%EC%95%BC%EA%B5%ACPDB/community
37,tvN,질문,https://www.youtube.com/user/TheChtvn/community
38,타일러,Q&A,https://www.youtube.com/c/tylerrasch1/community
39,개리형,Q&A,https://www.youtube.com/channel/UCRpdlPk671uOMiBtf5HtB3Q/community
40,튜브김민교,Q&A,https://www.youtube.com/channel/UCRpdlPk671uOMiBtf5HtB3Q/community
,방가네,,
,지현꿍,,
,김재원의 즐거운게임 세상,,
,Yoo's Beauty 희주,,
,양수빈,물어보고,
,리아일기Lya,,
,댕은Daengeun,,
,멸치myeolchi,,
,heungdda흥따,,
,eunchiko은치코,,
,푸들커플,,
,샨토끼,,
,양팡,,
,한스,,
,youjin유진,,
,신세경,,
,햄지,,
,제제,,
,도진이,,
,조에,,
,고돌링,,
,트위티,,
